Ano,Região,UF,Nome do Município,Localização,Dependência Administrativa,Ano de Ensino,Código da Escola,Abandono,Aprovacao,Reprovacao
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006844,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006852,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006860,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006879,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006887,7.5,85.0,7.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006895,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006917,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53007000,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53007018,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53008111,0.0,96.3,3.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53008120,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53008162,4.0,96.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53009347,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53009398,0.0,94.1,5.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53009711,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53009746,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53009762,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53011015,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53012070,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53012178,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53012550,0.0,98.1,1.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53012666,0.0,96.0,4.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53012739,0.0,66.7,33.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53013492,0.0,97.4,2.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53014278,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53014545,0.0,99.2,0.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53003047,9.3,84.4,6.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53004981,1.0,91.3,7.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53005171,0.0,80.0,20.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53005210,6.1,89.8,4.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53005740,0.0,87.5,12.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53006046,5.6,90.6,3.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53006054,6.8,81.8,11.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53006496,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53006720,0.0,91.1,8.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53008146,11.1,88.9,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2ª série,53009380,4.8,71.4,23.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53003047,0.0,94.3,5.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005210,0.0,95.1,4.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005740,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006046,2.6,97.4,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53006054,0.0,97.4,2.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53008146,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53002466,5.6,94.4,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53003055,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53003063,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005007,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005147,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005155,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005163,4.6,90.9,4.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005180,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,2º Ano,53005198,0.0,100.0,0.0
